ticker,accuracy,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,support_0,support_1,cm_tn,cm_fp,cm_fn,cm_tp
AAPL,0.4793388429752066,0.4375,0.660377358490566,0.5263157894736842,0.5609756097560976,0.3382352941176471,0.42201834862385323,53.0,68.0,35,18,45,23
AMZN,0.4461538461538462,0.4470588235294118,0.6031746031746031,0.5135135135135135,0.4444444444444444,0.29850746268656714,0.35714285714285715,63.0,67.0,38,25,47,20
NVDA,0.5135135135135135,0.4,0.4,0.4,0.5909090909090909,0.5909090909090909,0.5909090909090909,30.0,44.0,12,18,18,26
TSLA,0.6133333333333333,0.6470588235294118,0.5641025641025641,0.6027397260273972,0.5853658536585366,0.6666666666666666,0.6233766233766234,39.0,36.0,22,17,12,24
NKE,0.4594594594594595,0.46875,0.19230769230769232,0.2727272727272727,0.45689655172413796,0.7571428571428571,0.5698924731182796,78.0,70.0,15,63,17,53

50.23 for all stocks
